(np.float64(158.121207), np.float64(158.452698))
(np.float64(158.452698), np.float64(158.784189))
(np.float64(158.784189), np.float64(159.11568))
(np.float64(159.11568), np.float64(159.447171))
(np.float64(159.447171), np.float64(159.778662))
(np.float64(159.778662), np.float64(160.110153))
(np.float64(160.110153), np.float64(160.441644))
(np.float64(160.441644), np.float64(160.6073895))
(np.float64(160.6073895), np.float64(160.9388805))
(np.float64(160.9388805), np.float64(161.2703715))
(np.float64(161.2703715), np.float64(161.436117))
(np.float64(161.436117), np.float64(161.767608))
(np.float64(161.767608), np.float64(162.099099))
(np.float64(162.099099), np.float64(162.43059))
(np.float64(162.43059), np.float64(162.762081))
(np.float64(162.762081), np.float64(163.093572))
(np.float64(163.093572), np.float64(163.2593175))
(np.float64(163.2593175), np.float64(163.425063))
(np.float64(163.425063), np.float64(163.5908085))
(np.float64(163.5908085), np.float64(163.9222995))
(np.float64(163.9222995), np.float64(164.088045))
(np.float64(164.088045), np.float64(164.419536))
(np.float64(164.419536), np.float64(164.751027))
(np.float64(164.751027), np.float64(165.082518))
(np.float64(165.082518), np.float64(165.414009))
(np.float64(165.414009), np.float64(165.7455))
(np.float64(165.7455), np.float64(165.9112455))
(np.float64(165.9112455), np.float64(166.076991))
(np.float64(166.076991), np.float64(166.2427365))
(np.float64(166.2427365), np.float64(166.5742275))
(np.float64(166.5742275), np.float64(167.071464))
(np.float64(167.071464), np.float64(167.402955))
(np.float64(167.402955), np.float64(167.734446))
(np.float64(167.734446), np.float64(168.065937))
(np.float64(168.065937), np.float64(168.397428))
(np.float64(168.397428), np.float64(168.728919))
(np.float64(168.728919), np.float64(169.06041))
(np.float64(169.06041), np.float64(169.391901))
(np.float64(169.391901), np.float64(169.723392))
(np.float64(169.723392), np.float64(170.054883))
(np.float64(170.054883), np.float64(170.386374))
(np.float64(170.386374), np.float64(170.717865))
(np.float64(170.717865), np.float64(171.049356))
(np.float64(171.049356), np.float64(171.2151015))
(np.float64(171.2151015), np.float64(171.5465925))
(np.float64(171.5465925), np.float64(171.8780835))
(np.float64(171.8780835), np.float64(172.2095745))
(np.float64(172.2095745), np.float64(172.37532))
(np.float64(172.37532), np.float64(172.706811))
(np.float64(172.706811), np.float64(173.038302))
